Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year
MiP Classic Côtes de Provence Rosé 2019,France,Côtes de Provence,Domaine des Diables,4.1,171,13.9,2019
Côtes de Provence Spéciale Rosé 2018,France,Côtes de Provence,Château Montaud,3.6,178,7.5,2018
Solerose Rosato 2018,Italy,Langhe,Fontanafredda,3.9,179,10.93,2018
Freeda Rosé Trevenezie 2017,Italy,delle Venezie,Cecilia Beretta,3.9,180,11.59,2017
Rosé 2019,France,Languedoc-Roussillon,Claude Val,3.8,180,4.95,2019
Vulcânico Rosé 2018,Portugal,Açores,Azores Wine Company,3.8,184,13.45,2018
Zinfandel Rosé 2018,United States,California,Beringer,3.3,188,7.8,2018
Scaia Rosato 2019,Italy,Veneto,Tenuta Sant'Antonio,4.0,188,7.95,2019
Sancerre Rosé 2019,France,Sancerre,Michel Thomas & Fils,3.9,190,13.57,2019
Shiraz Rosé 2018,South Africa,Western Cape,Two Oceans,3.2,193,4.9,2018
The Palm Whispering Angel Rosé 2019,France,Provence,Château d'Esclans,3.9,195,13.15,2019
Fantini Cerasuolo d'Abruzzo 2018,Italy,Abruzzo,Farnese,3.6,198,5.9,2018
Côtes-du-Rhône Rosé 2018,France,Côtes-du-Rhône,E. Guigal,3.6,207,13.04,2018
White Zinfandel 2018,United States,California,Woodbridge by Robert Mondavi,3.7,208,9.69,2018
Sancerre Les Baronnes Rosé 2018,France,Sancerre,Henri Bourgeois,3.8,215,17.95,2018
Rosé d'Anjou 2018,France,Rosé d'Anjou,Elysis,3.8,220,6.45,2018
Le Rosé 2019,France,Côtes du Roussillon,Château Saint-Roch,4.1,220,9.25,2019
The Rose Garden Rosé 2019,South Africa,Coastal Region,Boschendal,3.7,221,8.9,2019
Merlot Rosé (Unico) 2019,Italy,Abruzzo,Tenuta Ulisse,4.0,222,8.72,2019
Estate Cabernet Sauvignon Rosé 2016,Chile,Central Valley,Errazuriz,3.3,224,9.65,2016
Tavel 2016,France,Tavel,E. Guigal,3.6,225,15.5,2016
LaLomba Rosado 2017,Spain,Rioja,Ramón Bilbao,3.9,228,19.07,2017
Zinfandel Rosé 2018,Italy,Puglia,Epicuro,3.5,229,10.68,2018
Les Fumées Blanches Rosé 2019,France,Vin de France,François Lurton,3.6,230,7.89,2019
Tramari Rosé di Primitivo 2019,Italy,Puglia,San Marzano,3.9,238,6.92,2019
Studio 2019,France,Côtes de Provence,Miraval,3.6,239,10.86,2019
Argali Rosé 2019,France,Languedoc-Roussillon,Château Puech-Haut,4.0,239,15.0,2019
Pétale de Rosé 2017,France,Côtes de Provence,Château La Tour de l'Évêque,3.8,240,15.55,2017
Bardolino Chiaretto 2019,Italy,Bardolino,Cavalchina,3.7,240,8.11,2019
Etna Rosato 2018,Italy,Etna,Tenuta delle Terre Nere,3.9,240,15.5,2018
White Grenache 2018,United States,California,Gallo Family Vineyards,3.5,245,6.31,2018
Rosado 2019,Spain,Rioja,Muga,3.8,246,8.68,2019
Flor de Muga Rosado 2018,Spain,Rioja,Muga,4.1,250,23.9,2018
Château de Selle Rosé (Coeur de Grain) 2014,France,Côtes de Provence,Domaines Ott,4.2,256,28.9,2014
Albia Toscana Rosé 2018,Italy,Toscana,Ricasoli,3.6,261,7.9,2018
Aire de Protos Rosé 2018,Spain,Ribera del Duero,Protos,3.8,272,8.75,2018
Rosé et Or 2019,France,Côtes de Provence,Minuty,4.3,273,24.85,2019
Ribet Pink Syrah Rosé 2019,France,Pays d'Oc,Arrogant Frog,3.7,280,6.53,2019
Primitivo Rosato 2019,Italy,Puglia,Doppio Passo,3.9,284,6.2,2019
Cabernet Sauvignon Rosé 2019,South Africa,Stellenbosch,Mulderbosch,3.6,284,8.45,2019
Pinot Rosé 2016,New Zealand,Marlborough,The Ned,3.7,311,12.9,2016
Rosé 2019,France,Vin de France,La Vieille Ferme,3.5,317,6.86,2019
Rosé 2019,France,Côtes de Thongue,Domaine Montrose,3.8,327,8.99,2019
Sofia Rosé 2018,United States,Monterey County,Francis Ford Coppola,3.9,338,22.9,2018
Summer In A Bottle Rosé 2019,United States,Long Island,Wölffer Estate,4.1,341,24.9,2019
Pinot Grigio Ramato 2018,Italy,Friuli-Venezia Giulia,Attems,3.8,346,11.9,2018
Cipresseto Rosato Toscana 2018,Italy,Toscana,Santa Cristina,3.7,350,9.99,2018
Pinot Rosé 2017,New Zealand,Marlborough,The Ned,3.7,357,12.9,2017
Cherub (Syrah) Rosé 2016,Chile,Colchagua Valley,Montes,3.6,366,10.69,2016
Rosamara (Valtenesi Chiaretto) 2018,Italy,Lombardia,Costaripa,3.8,371,13.4,2018
Rosado 2018,Spain,Rioja Alavesa,El Coto,3.3,378,4.99,2018
Rosado 2017,Spain,Navarra,Gran Feudo,3.3,387,7.5,2017
Bone Dry Rosé 2018,Germany,Pfalz,Reichsrat von Buhl,3.6,410,9.5,2018
Fleur de Mer Rosé 2019,France,Côtes de Provence,Les Maitres Vignerons de la Presqu'ile de Saint-Tropez,4.1,415,8.6,2019
Tibouren Tradition Rosé 2017,France,Côtes de Provence,Clos Cibonne,4.1,416,16.9,2017
Quelías Rosé 2019,Spain,Cigales,Sinforiano,4.0,416,8.72,2019
Miraflors Rosé 2019,France,Côtes du Roussillon,Domaine Lafage,4.0,419,10.31,2019
Côtes de Provence Spéciale Rosé 2017,France,Côtes de Provence,Château Montaud,3.6,419,18.0,2017
By.Ott Rosé 2019,France,Côtes de Provence,Domaines Ott,3.9,424,16.47,2019
Cabernet Sauvignon Rosé 2018,South Africa,Stellenbosch,Mulderbosch,3.6,443,8.67,2018
Sauvignon Blanc Blush 2019,New Zealand,Marlborough,Silver Moki,4.1,452,7.95,2019
Château Romassan Rosé (Coeur de Grain) 2018,France,Bandol,Domaines Ott,4.2,454,28.9,2018
Alghero Rosato 2018,Italy,Alghero,Sella & Mosca,3.4,456,8.44,2018
Rioja Rosado 2018,Spain,Rioja,Marqués de Cáceres,3.4,459,6.49,2018
Freeda Rosé Trevenezie 2018,Italy,delle Venezie,Cecilia Beretta,3.8,487,11.48,2018
Tavel Rosé 2018,France,Tavel,Château d'Aqueria,3.7,493,14.92,2018
Negroamaro Salento Calafuria Rosato 2019,Italy,Salento,Tormaresca,4.0,517,9.7,2019
Rosé 2018,United States,Yakima Valley,Chateau Ste. Michelle,3.6,532,11.15,2018
Band of Roses Rosé 2018,United States,Washington,Charles Smith,3.6,539,12.57,2018
Rosado 2018,Spain,Rioja,Marqués de Riscal,3.6,546,8.78,2018
Rosé 2018,France,Pays d'Oc,L'Ostal Cazes,3.7,553,14.54,2018
Rosado 2018,Spain,Rioja,Cune (CVNE),3.6,579,5.45,2018
Rosé 2018,United States,California,Dark Horse,3.4,592,6.31,2018
Rosé 2018,France,Côtes de Thongue,Domaine Montrose,3.8,613,8.72,2018
Rosé de Purcari 2018,Moldova,South Eastern,Château Purcari,4.2,615,10.98,2018
White Zinfandel 2018,United States,California,Gallo Family Vineyards,3.6,626,6.05,2018
Côtes de Provence Rosé 2019,France,Côtes de Provence,Miraval,3.9,633,15.88,2019
Rock Angel Rosé 2018,France,Côtes de Provence,Château d'Esclans,4.2,640,29.9,2018
Cabernet Sauvignon Rosé 2017,South Africa,Stellenbosch,Mulderbosch,3.6,646,9.5,2017
Lambrusco Emilia Rosé N.V.,Italy,Emilia,Riunite,4.0,669,3.67,N.V.
Rosa dei Frati Riviera del Garda Classico Rosé 2018,Italy,Lombardia,Cà dei Frati,4.0,692,13.99,2018
Prestige Rosé 2019,France,Côtes de Provence,Minuty,4.0,700,17.85,2019
Gris Blanc 2019,France,Pays d'Oc,Gérard Bertrand,3.9,758,9.37,2019
Viña Esmeralda Rosado 2018,Spain,Catalunya,Torres,3.9,776,7.79,2018
De Casta Rosado 2018,Spain,Catalunya,Torres,3.5,792,5.9,2018
Prosa Rosé 2019,Austria,Burgenland,Meinklang,4.0,808,8.5,2019
Rioja Rosado 2018,Spain,Rioja,Ramón Bilbao,3.8,838,10.95,2018
Rosado 2017,Spain,Rioja,Muga,3.7,861,10.71,2017
Alìe Rosé Toscana 2017,Italy,Toscana,Tenuta Ammiraglia,3.9,1065,28.27,2017
The Palm Whispering Angel Rosé 2018,France,Provence,Château d'Esclans,3.9,1066,15.84,2018
Rosé 2019,France,Coteaux d'Aix-en-Provence,AIX,4.0,1078,13.9,2019
Rosa dei Frati Riviera del Garda Classico Rosé 2019,Italy,Lombardia,Cà dei Frati,4.1,1137,11.2,2019
Côte des Roses Rosé 2019,France,Languedoc,Gérard Bertrand,3.9,1750,9.36,2019
M Rosé 2019,France,Côtes de Provence,Minuty,4.0,2046,12.85,2019
Whispering Angel Rosé 2019,France,Côtes de Provence,Château d'Esclans,4.2,2990,16.47,2019
Vinho Verde Rosé N.V.,Portugal,Vinho Verde,Casal Garcia,3.5,9493,4.35,N.V.
The Original Rosé N.V.,Portugal,Douro,Mateus,3.6,29531,5.99,N.V.
